Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
01/01/2019,2019,BMW X2,94654,2,Africa,Nigeria,Wholesale
01/01/2019,2019,BMW M4,111259,1,Africa,Kenya,Wholesale
02/01/2019,2019,BMW 6 Series,94881,3,South America,Chile,Wholesale
04/01/2019,2019,BMW X2,35293,4,Asia,South Korea,Wholesale
04/01/2019,2019,BMW M2,76275,5,Asia,Japan,Wholesale
05/01/2019,2019,BMW iX3,74929,3,Asia,South Korea,Wholesale
06/01/2019,2019,BMW 8 Series,82563,4,South America,Colombia,Dealership
07/01/2019,2019,BMW 7 Series,71767,3,South America,Chile,Wholesale
07/01/2019,2019,BMW iX3,67202,4,Africa,Morocco,Wholesale
07/01/2019,2019,BMW i4,82195,5,Asia,Japan,Wholesale
08/01/2019,2019,BMW X4,106309,3,Europe,Italy,Wholesale
08/01/2019,2019,BMW M3,35983,4,Europe,Spain,Wholesale
08/01/2019,2019,BMW X6,74863,1,South America,Peru,Dealership
09/01/2019,2019,BMW 5 Series,59157,2,North America,Mexico,Dealership
09/01/2019,2019,BMW X6,59493,4,North America,United States,Wholesale
10/01/2019,2019,BMW M5,89019,4,Europe,Italy,Dealership
10/01/2019,2019,BMW 8 Series,113748,4,North America,Mexico,Wholesale
10/01/2019,2019,BMW 8 Series,68568,3,North America,Canada,Wholesale
11/01/2019,2019,BMW M4,118264,2,Europe,France,Wholesale
12/01/2019,2019,BMW X1,78586,3,Europe,Spain,Wholesale
12/01/2019,2019,BMW M4,44063,4,North America,Mexico,Wholesale
12/01/2019,2019,BMW 2 Series,82810,4,South America,Argentina,Dealership
,,,,,,,
13/01/2019,2019,BMW M4,99626,2,Asia,Japan,Wholesale
13/01/2019,2019,BMW X5,118393,1,North America,United States,Wholesale
14/01/2019,2019,BMW i4,93737,3,Asia,China,Dealership
15/01/2019,2019,BMW M8,101997,1,South America,Colombia,Wholesale
15/01/2019,2019,BMW X1,107838,4,Africa,Kenya,Dealership
15/01/2019,2019,BMW 6 Series,53877,4,Asia,South Korea,Dealership
16/01/2019,2019,BMW iX,73420,5,South America,Brazil,Wholesale
16/01/2019,2019,BMW M2,112782,5,South America,Peru,Dealership
16/01/2019,2019,BMW iX,100875,1,Asia,China,Wholesale
16/01/2019,2019,BMW i8,55094,5,Asia,India,Dealership
17/01/2019,2019,BMW X6,104500,2,Europe,Spain,Wholesale
17/01/2019,2019,BMW M3,60373,1,South America,Colombia,Wholesale
